name,input,label
дайкири,ингредиенты: ром сахарный сироп лаймовый сок лед пожелания: крепкие кислые цитрусовые на роме классика,"Налей в шейкер лаймовый сок 30 мл, сахарный сироп 15 мл и белый ром 60 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце"
мохито,ингредиенты: ром сахарный сироп содовая лайм мята лед пожелания: слабоалкогольные мятные кислые цитрусовые на роме,Положи в хайбол лайм 3 дольки и подави мадлером. Возьми мяту 10 листиков в одну руку и хлопни по ним другой рукой. Положи мяту в хайбол. Наполни бокал дробленым льдом доверху. Добавь сахарный сироп 15 мл и белый ром 50 мл. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой мяты и долькой лайма
апероль шприц,ингредиенты: апероль просекко содовая апельсин лед пожелания: слабоалкогольные сладкие на игристом простые физзы,Наполни бокал для вина льдом. Налей в бокал просекко 100 мл и апероль 100 мл . Добавь сплэш содовой и размешай коктейльной ложкой. Укрась долькой апельсина
негрони,ингредиенты: джин вермут биттер апельсиновая цедра лед пожелания: крепкие горькие на джине классика негрони,Наполни рокс кубиками льда доверху. Налей в бокал красный вермут 30 мл и красный биттер 30 мл. Добавь джин 30 мл и размешай коктейльной ложкой. Укрась апельсиновой цедрой
маргарита,ингредиенты: текила трипл сек fruko schul сахарный сироп лаймовый сок лайм соль лед пожелания: крепкие кислые цитрусовые соленые на текиле,"Сделай на бокале для маргариты соленую окаемку. Налей в шейкер лаймовый сок 30 мл, сахарный сироп 10 мл, ликер трипл сек 25 мл и серебряную текилу 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный бокал для маргариты. Укрась кружком лайма"
таежный сбитень,ингредиенты: биттер вода лимон мята мед корица в палочках гвоздика мускатный орех молотый пожелания: безалкогольные цитрусовые пряные сладкие горячие,"Положи в питчер мед 30 мл, разломанную пополам палочку корицы и гвоздику 1 шт. Добавь ангостуру биттер 1 дэш и кипяток 150 мл. Помешивая, нагрей, не доводя до кипения. Перелей через ситечко в бокал для ирландского кофе. Добавь щепотку мускатного ореха молотого. Укрась долькой лимона и веточкой мяты"
московский весенний пунш,ингредиенты: водка лимонный сок имбирное пиво малина мята мед лед пожелания: слабоалкогольные ягодные кислые на водке лонги,"Положи в слинг малину 5 ягод, добавь мед 10 мл и подави мадлером. Наполни слинг дробленым льдом доверху. Налей лимонный сок 15 мл и водку 40 мл. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой мяты и 2 ягодами малины на коктейльной шпажке"
ай кандела,ингредиенты: мирто биттер сироп агавы сироп манго лимонный сок апельсин кориандр лед пожелания: слабоалкогольные сладкие ягодные на ликере шорт дринки,"Наполни рокс кубиками льда доверху. Налей в шейкер лимонный сок 20 мл и сироп агавы 20 мл. Добавь сироп манго 20 мл, кориандр 5 г и мирто 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Добавь чайный биттер 2 дэш. Укрась подсушенным кружком апельсина"
растафарай,ингредиенты: абсент биттер сахарный сироп вода пожелания: крепкие горькие травяные на абсенте шоты,"Налей в стопку красный биттер 15 мл. Используя коктейльную ложку, уложи слоями воду без газа 10 мл и абсент 15 мл. Аккуратно добавь через трубочку сахарный сироп 2 капли. Подожги и быстро выпей через трубочку"
пастек,ингредиенты: водка арбузный сироп сахарный сироп лаймовый сок арбуз лед пожелания: крепкие сладкие ягодные на водке тини,"Положи в шейкер мякоть дольки арбуза и подави мадлером. Налей лаймовый сок 15 мл, арбузный сироп 10 мл, сахарный сироп 10 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась долькой арбуза"
утраченная невинность,ингредиенты: джин бурбон амаро херес педро хименес виски биттер лед лед пожелания: крепкие травяные горькие на бурбоне шорт дринки,"Положи в рокс ледяную сферу. Налей в шейкер амаро 10 мл, херес педро хименес 15 мл и виски биттер 2 дэш. Добавь ангостура биттер 2 дэш, лондонский сухой джин 15 мл и домашний табачный бурбон 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в бокал"
опиум № 1,ингредиенты: ром ром абсент биттер кордиал мандариновый сок лаймовый сок вода женьшень в капсулах лед пожелания: крепкие пряные травяные цитрусовые сладкие,"Помести в калабас чайное ситечко с сухим льдом. Налей в шейкер лаймовый сок 15 мл, мандариновый сок 75 мл, лаймовый кордиал 20 мл, выдержанный ром 35 мл, сверхкрепкий  ром 15 мл и абсент 5 мл. Добавь апельсиновый биттер 1 дэш. Тщательно взбей. Перелей через стрейнер в калабас часть коктейля и положи капсулу с женьшенем. Долей коктейль в сосуд. Подавай с водой без газа в отдельном бокале и бомбильей"
баба таня,ингредиенты: водка белое вино просекко кленовый сироп лаймовый сок киви мята лед пожелания: крепкие мятные на водке физзы желтые,"Положи в шейкер половинку киви и подави мадлером. Налей лаймовый сок 10 мл, кленовый сироп 10 мл и белое вино сухое 40 мл. Добавь мяту 1 листик и домашнюю ванильную водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Аккуратно долей просекко доверху"
мока чоколата яя,ингредиенты: водка ликер амаретто fruko schul кофейный ликер fruko schul пожелания: крепкие кофейные сладкие на водке шоты,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слоями ликер амаретто 20 мл и водку 20 мл"
второй румянец,ингредиенты: ликер из цветков бузины de kuype белое вино грейпфрутовый сок содовая вода лед пожелания: слабоалкогольные кислые цитрусовые цветочные на ликере,Налей в шейкер грейпфрутовый сок 45 мл и белое вино десертное 15 мл. Добавь розовую воду 2 дэш и ликер из цветков бузины 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер во флюте. Долей содовую доверху
розе с вишней,ингредиенты: вермут ликер амаретто fruko schul вишневый сок коктейльная вишня красная лед пожелания: слабоалкогольные сладкие на вермуте лонги простые,Наполни хайбол кубиками льда доверху. Налей ликер амаретто 10 мл и розовый вермут 50 мл. Долей вишневый сок доверху и аккуратно размешай коктейльной ложкой. Укрась коктейльной вишней
эффектини,ингредиенты: водка гальяно л’аутентико кофе эспрессо кофе в зернах лед пожелания: крепкие пряные кофейные на водке десерты,"Налей в шейкер холодный эспрессо 40 мл, гальяно аутентико 40 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась зернами кофе"
ленивый олд фешен,ингредиенты: виски биттер сахарный сироп апельсиновая цедра лед пожелания: крепкие горькие сухие на виски твисты,"Наполни рокс кубиками льда доверху. Налей в стакан для смешивания сахарный сироп 8 мл, ангостуру биттер 2 дэш и шотландский виски 60 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в рокс. Укрась апельсиновой цедрой"
джин на малине,ингредиенты: джин лайм свеже-мороженая малина сахарная пудра пожелания: крепкие ягодные на джине на компанию красные,"Положи в двухлитровую банку натертую цедру двух лаймов. Не утрамбовывая, наполни банку ягодами мороженой малины на 3/4. Добавь сахарную пудру 200 г и долей джин доверху . Закрой банку крышкой и настаивай 1,5 недели в темном месте. Настойка готова, когда ягоды начали всплывать. Не открывай банку во время настаивания"
русский лонг айленд,ингредиенты: текила джин водка ром трипл сек fruko schul просекко вишня малина лед пожелания: крепкие цитрусовые ягодные на игристом твисты,"Наполни слинг кубиками льда доверху. Положи в шейкер вишню без косточек 2 ягоды, малину 2 ягоды и подави мадлером. Налей ликер трипл сек 15 мл, серебряную текилу 15 мл, белый ром 15 мл, джин 15 мл и водку 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась двумя ягодами малины на коктейльной шпажке"
сливочный мартини с соленой карамелью,ингредиенты: айриш крим сироп соленая карамель кофе эспрессо кофе в зернах нежирные сливки ваниль в стручках лед лед пожелания: слабоалкогольные сливочные кофейные сладкие на ликере,"Налей в шейкер эспрессо 30 мл, нежирные сливки 50 мл, сироп соленая карамель 20 мл и айриш крим 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась зернами кофе, ванилью в стручках и леденцом"
летний вечер в гаграх,ингредиенты: водка сироп маракуйи лаймовый сок арбуз ежевика лед пожелания: крепкие тропические ягодные сладкие на водке,"Положи в шейкер мякоть дольки арбуза, ежевику 2 ягоды и подави мадлером. Налей лаймовый сок 10 мл, сироп маракуйи 15 мл и черносмородиновую водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный флюте. Укрась шариком из арбуза на шпажке"
клубничный дайкири,ингредиенты: ром клубничный сироп лаймовый сок лед пожелания: крепкие ягодные сладкие кислые на роме,Налей в шейкер лаймовый сок 25 мл и клубничный сироп 25 мл. Добавь белый ром 75 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в шампанское блюдце
олд фешен с текилой,ингредиенты: текила биттер биттер сироп агавы орхидея грейпфрутовая цедра лед пожелания: крепкие сухие на текиле твисты он зе рокс,Налей в рокс сироп агавы 10 мл и серебряную текилу 60 мл. Добавь грейпфрутовый биттер 2 дэш и пишо биттер 2 дэш. Наполни рокс кубиками льда доверху и размешай коктейльной ложкой. Укрась цветком и грейпфрутовой цедрой
диксиленд смэш,ингредиенты: водка гренадин медовый сироп лимонный сок грейпфрутовый сок грейпфрут мята лед лед пожелания: крепкие цитрусовые кислые мятные на водке,"Наполни кубок дробленым льдом доверху. Положи в шейкер мяту 6 листьев. Налей лимонный сок 15 мл, грейпфрутовый сок 30 мл, гренадин 5 мл, медовый сироп 15 мл и водку 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в кубок. Досыпь немного дробленого льда. Укрась долькой грейпфрута и веточкой мяты"
россини,ингредиенты: просекко клубничное пюре лед пожелания: слабоалкогольные сладкие ягодные на игристом твисты,Положи в стакан для смешивания клубничное пюре 6 к. ложек . Налей просекко 120 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный флюте
зомби 2,ингредиенты: ром ром ром абрикосовый ликер fruko schul сахарный сироп ананасовый сок лаймовый сок мята лед пожелания: крепкие тропические сладкие на роме твисты,"Наполни слинг кубиками льда доверху. Налей в шейкер лаймовый сок 10 мл, ананасовый сок 50 мл, сахарный сироп 10 мл, абрикосовый ликер 20 мл, золотой ром 20 мл и белый ром 25 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Долей темный ром 15 мл. Укрась веточкой мяты"
пальма де груша,ингредиенты: водка сироп корицы лаймовый сок яблочный сок мята корица в палочках лед пожелания: слабоалкогольные пряные мятные сладкие на водке,"Наполни хайбол кубиками льда доверху. Положи в шейкер мяту 10 листьев и подави мадлером. Налей лаймовый сок 10 мл, сироп корицы 20 мл, яблочный сок 80 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в хайбол. Укрась палочкой корицы и веточкой мяты"
куба либре,ингредиенты: ром лаймовый сок кола лайм лед пожелания: слабоалкогольные сладкие на роме физзы классика,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и золотой ром 50 мл . Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась кружками лайма
куртизанка,ингредиенты: водка ликер амаретто fruko schul сахарный сироп лимонный сок белок перепелиного яйца клубника мята тростниковый сахарный песок лед пожелания: крепкие ягодные тропические сладкие на водке,"Сделай на коньячном бокале окаемку из тростникового сахарного песка. Наполни бокал кубиками льда доверху. Положи в шейкер клубнику 6 ягод и подави мадлером. Налей белок перепелиного яйца 25 мл, лимонный сок 15 мл, сахарный сироп 15 мл, ликер амаретто 20 мл и водку 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в коньячный бокал. Укрась ягодой клубники и листиком мяты"
демон-веган,ингредиенты: кашаса ликер перца анчо ванильный сироп лаймовый сок огурец мята лед лед пожелания: крепкие пикантные овощные на кашасе шорт дринки,Положи в рокс ледяной куб. Положи в шейкер слайс огурца и подави мадлером. Налей лаймовый сок 25 мл и ванильный сироп 15 мл. Добавь ликер перца анчо 15 мл и кашасу 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в рокс. Укрась слайсом огурца и веточкой мяты
античный дайкири,ингредиенты: ром зеленый шартрез драмбуи ванильный сироп лаймовый сок лед пожелания: крепкие травяные кислые цитрусовые пряные,"Налей в шейкер лаймовый сок 30 мл и ванильный сироп 10 мл . Добавь зеленый шартрез 20 мл, драмбуи 20 мл и белый ром 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце"
последнее слово,ингредиенты: джин зеленый шартрез ликер мараскино fruko schul лаймовый сок лед пожелания: крепкие кислые травяные на джине шорт дринки,"Налей в шейкер лаймовый сок 10 мл, ликер мараскино 20 мл, зеленый шартрез 20 мл и джин 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце"
22.13,ингредиенты: джин вишневый ликер fruko schul херес фино биттер лимонный сок белок перепелиного яйца лед пожелания: крепкие сладкие на джине шорт дринки розовые,"Налей в шейкер белок перепелиного яйца 15 мл, лимонный сок 15 мл, вишневый ликер 15 мл, херес фино 30 мл и джин 30 мл. Добавь пишо биттер 2 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденное шампанское блюдце"
велосипед,ингредиенты: биттер просекко тоник апельсиновая цедра лед пожелания: слабоалкогольные горькие на ликере лонги простые,Положи три ледяных куба в коллинз. Налей красный биттер 50 мл и просекко 50 мл. Долей тоник доверху. Укрась апельсиновой цедрой
все зашибись,ингредиенты: мескаль ликер мараскино fruko schul ликер драй оранж de kuype биттер лаймовый сок коктейльная вишня красная лед пожелания: крепкие кислые цитрусовые на мескале шорт дринки,"Налей в шейкер лаймовый сок 25 мл, ликер мараскино 5 мл, ликер драй оранж 25 мл и мескаль 50 мл. Добавь грейпфрутовый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце. Укрась коктейльной вишней на шпажке"
устрица прерий,ингредиенты: водка желток перепелиного яйца ворчестер соус табаско соус красный табаско соус зеленый черный перец молотый пожелания: крепкие пикантные овощные на водке шоты,"Уложи в стопку желтки перепелиных яиц 5 шт.. Налей вокруг желтков по несколько капель соусов: ворчестер, табаско красный и табаско зеленый. Добавь щепотку черного перца молотого. Используя коктейльную ложку, уложи слой водки 20 мл"
кабинет сауэр,ингредиенты: виски стрега черносмородиновый ликер fruko schul биттер сахарный сироп лимонный сок белок перепелиного яйца лед пожелания: крепкие кислые на виски твисты сауэры,"Налей в шейкер лимонный сок 15 мл, сахарный сироп 10 мл и белок перепелиного яйца 25 мл. Добавь черносмородиновый ликер 10 мл, стрегу 10 мл и ржаной виски 40 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз . Перелей через стрейнер в коктейльный бокал. Укрась ангостурой биттером 2 дэш"
шмель,ингредиенты: карамельный сироп апельсиновый сок кофе эспрессо апельсин лед пожелания: безалкогольные кофейные сладкие цитрусовые на соке,Наполни хайбол кубиками льда доверху. Налей апельсиновый сок 100 мл и карамельный сироп 15 мл. Добавь эспрессо 50 мл и аккуратно размешай коктейльной ложкой. Укрась долькой апельсина
космо пэшн ти,ингредиенты: водка трипл сек fruko schul сироп маракуйи яблочный сок клюквенный сок апельсин грейпфрут лайм корица в палочках пожелания: слабоалкогольные пряные цитрусовые тропические сладкие,"Положи в питчер четвертинку лайма, дольку грейпфрута и дольку апельсина. Добавь палочку корицы. Налей яблочный сок 100 мл, клюквенный сок 200 мл, сироп маракуйи 15 мл, ликер трипл сек 25 мл и цитрусовую водку 50 мл. Помешивая, нагрей, не доводя до кипения. Перелей в чайник. Подавай на подставке со свечкой, чтобы коктейль не остывал"
морской бриз,ингредиенты: водка клюквенный сок грейпфрутовый сок апельсин клюква лед пожелания: слабоалкогольные кислые цитрусовые на водке лонги,Наполни коллинз кубиками льда доверху. Налей грейпфрутовый сок 50 мл и водку 50 мл. Долей клюквенный сок доверху и аккуратно размешай коктейльной ложкой. Укрась ягодами клюквы и кружком апельсина на коктейльной шпажке
сибирский грог,ингредиенты: ром джин яблочный сироп желтый чай ассам красная смородина гвоздика корица в палочках пожелания: крепкие ягодные сладкие пряные на роме,"Положи в бокал для ирландского кофе красную смородину 5 к. ложек, палочку корицы и гвоздику 1 шт. Налей яблочный сироп желтый 15 мл, терновый джин 20 мл и золотой ром 40 мл. Долей горячий чай ассам доверху и аккуратно размешай коктейльной ложкой"
